edad,asistencia,promedio_parcial,horas_estudio,uso_plataforma,tareas_entregadas,participacion_foro,trabaja,modalidad,internet_hogar,abandono
39,79.58380765412073,4.961084216595809,2.547474278644022,8.2898692795304,7,7,No,Presencial,Bueno,1
37,88.28346700463591,5.38308854909783,11.805477146876468,16.34865471712101,8,2,No,Presencial,Regular,1
30,89.50470823884774,3.723699394445987,16.558550072263337,13.571561558194226,8,15,No,Presencial,Bueno,1
20,94.61424507421096,4.8589856667103435,7.5536167411960164,23.033534284862032,7,12,Si,Presencial,Malo,1
26,99.67093011417117,6.06498753341589,21.346509335844964,24.074860474624487,3,14,No,Presencial,Bueno,1
18,62.51717875825641,4.455311794259193,12.51757871141265,1.6369296265624982,8,14,Si,Presencial,Bueno,1
27,68.11945225446587,5.075618162739673,4.073487012306661,4.614393154399393,7,16,Si,Online,Bueno,0
35,79.50128250390831,5.24240821800638,1.8513185437389907,45.03626545768284,9,0,No,Online,Bueno,1
42,72.6897304488965,5.50616746836521,0.0,19.13378227225488,7,6,Si,Online,Bueno,1
39,91.38376520206701,3.789326815675876,9.9343294078297,20.486353175723497,6,21,Si,Online,Bueno,1
37,83.19839138032047,4.151728612063249,15.768343812338617,16.95821974369161,7,15,Si,Presencial,Regular,1
19,59.55304497270258,4.600087074699655,9.666883272114788,29.107313228572444,8,21,No,Online,Regular,0
42,96.46339767967724,6.239327178813776,7.296671464825354,19.5634396231729,6,30,Si,Presencial,Regular,0
35,50.875374505616406,3.079006185391591,18.6078841237263,13.03924190743257,7,10,Si,Presencial,Regular,1
29,45.04856337418866,4.193495343140152,8.510454984868662,5.524861529879914,10,3,No,Presencial,Bueno,1
23,72.87989713350957,4.899069920454028,3.8176649325472445,7.134246112778014,3,2,No,Online,Regular,0
38,84.57804962330155,5.603371944341763,6.6732300026520885,20.16052569167221,4,14,No,Presencial,Regular,1
32,73.90526892852846,4.453079853223099,2.964655017549319,23.594011197419583,8,19,No,Online,Bueno,0
41,68.21364695244965,4.901265908423854,2.902892547931555,12.071830624777702,8,22,No,Presencial,Regular,1
18,47.13977944715214,3.34023667587263,7.138300254995892,21.1540302430809,4,21,No,Presencial,Malo,1
22,60.90948297890843,5.73031673377604,4.331958881568941,13.374811951099431,7,11,No,Presencial,Malo,1
20,79.30819345436326,5.661336416838056,11.343084656042059,18.466677416504858,7,12,No,Online,Malo,1
33,49.32996938754066,6.79175160273881,8.113725201574912,29.967848644599798,6,11,Si,Presencial,Bueno,1
24,75.01844865348741,5.984021883526112,6.789931044716422,8.024528339970665,7,19,No,Presencial,Bueno,0
25,73.08243984083954,4.093048399972175,6.932811857057815,30.219679995054374,8,21,Si,Presencial,Regular,1
44,69.11482875650876,4.825309517552528,13.769953171227726,31.5625407297438,5,11,Si,Online,Bueno,0
21,49.991480219524874,3.6462211154322386,6.36536622133157,9.031526853056818,4,21,No,Presencial,Bueno,1
18,68.95408748543427,4.800943242246228,19.938894053983123,0.0,2,11,No,Presencial,Bueno,0
44,82.99541166791923,4.599542712234332,12.105840785074152,16.976026301735867,5,15,Si,Presencial,Malo,1
29,57.44637659625341,4.132257954886905,12.086326727190103,26.510423494171462,6,20,No,Online,Bueno,0
42,81.20818105290562,6.097800486915498,11.264101486785709,31.48851842029379,6,5,Si,Presencial,Bueno,0
21,69.15441170214834,3.0617003838038648,4.757324367033696,25.52257818585682,6,30,No,Online,Bueno,1
